Season,Team,League,GP,G,A,TP,PIM,PlusMinus,PlayerID
1999-00,Univ. of Wisconsin,NCAA,38,28,28,56,32,,3664
1999-00,Canada U20,WJC-20,7,2,2,4,4,-1,3664
1999-00,Univ. of Wisconsin,NCAA,38,28,28,56,32,,3664
1999-00,Canada U20,WJC-20,7,2,2,4,4,-1,3664
1999-00,HK Dukla Trencin,Slovakia,50,25,21,46,34,,3665
1999-00,Slovakia U18,WJC-18,6,6,2,8,12,3,3665
1999-00,Slovakia U20,WJC-20,7,3,1,4,0,0,3665
1999-00,Brampton Battalion,OHL,67,16,29,45,174,3,8622
1999-00,Brampton Battalion,OHL,68,43,48,91,40,6,8857
1999-00,Prince Albert Raiders,WHL,62,27,55,82,124,13,8764
1999-00,Leksands IF J18,J18 Allsvenskan,0,0,0,0,0,,339
1999-00,Leksands IF J20,SuperElit,34,16,22,38,50,,339
1999-00,Leksands IF,SHL,5,0,0,0,4,-2,339
1999-00,Sweden U18,WJC-18,6,0,0,0,2,2,339
1999-00,Sweden U18 (all),International-Jr,17,3,4,7,24,,339
1999-00,Erie Otters,OHL,64,24,29,53,42,-3,10221
1999-00,Lada Togliatti-2,Russia3,35,12,12,24,34,,8648
1999-00,Russia U18,WJC-18,6,1,5,6,2,6,8648
1999-00,Torpedo Yaroslavl,Russia,8,2,0,2,4,,9561
1999-00,Torpedo Yaroslavl-2,Russia3,40,19,15,34,20,,9561
1999-00,Russia U18,WJC-18,6,2,6,8,10,4,9561
1999-00,Dynamo Moskva,Russia,1,0,0,0,0,,9555
1999-00,Dynamo Moskva-2,Russia3,12,5,3,8,34,,9555
1999-00,THK Tver,Russia2,28,3,1,4,53,,9555
1999-00,Russia U18,WJC-18,6,3,4,7,16,9,9555
1999-00,UMass-Lowell,NCAA,30,3,8,11,20,1,9037
1999-00,USA U20,WJC-20,7,1,1,2,4,1,9037
1999-00,HC Ceské Budejovice U20,Czech U20,14,4,7,11,4,3,8710
1999-00,HC Ceske Budejovice,Czech,38,8,6,14,6,4,8710
1999-00,Czech Republic U18,WJC-18,6,4,1,5,0,2,8710
1999-00,Czech Republic U20,WJC-20,7,0,1,1,6,4,8710
1999-00,Torpedo Yaroslavl,Russia,3,0,0,0,4,,21005
1999-00,Torpedo Yaroslavl-2,Russia3,15,4,5,9,14,,21005
1999-00,Portland Winter Hawks,WHL,60,24,29,53,58,-8,4532
1999-00,Slovakia U20,WJC-20,7,0,1,1,8,-1,4532
1999-00,Lokomotiv Yaroslavl-2,Russia3,53,24,17,41,4,,9353
1999-00,Boston College,NCAA,38,1,9,10,102,0,8939
1999-00,USA U20,WJC-20,7,1,1,2,6,3,8939
1999-00,Boston College,NCAA,42,16,16,32,48,0,8716
1999-00,Lokomotiv Yaroslavl-2,Russia3,25,11,13,24,10,,8591
1999-00,Russia U18,WJC-18,6,5,1,6,10,5,8591
1999-00,CSKA Moskva-2,Russia3,6,0,1,1,10,,8660
1999-00,CSKA Moskva,Russia2,31,2,9,11,40,,8660
1999-00,Russia U18,WJC-18,6,1,0,1,6,11,8660
1999-00,Sioux City Musketeers,USHL,54,6,18,24,187,,9038
1999-00,Swift Current Broncos,WHL,70,21,28,49,72,10,11028
1999-00,Erie Otters,OHL,68,36,46,82,38,8,9092
1999-00,Canada U18,Nations Cup,3,0,3,3,4,,9092
1999-00,Windsor Spitfires,OHL,66,23,39,62,131,-9,8944
1999-00,Moose Jaw Warriors,WHL,47,18,17,35,102,-11,8898
1999-00,MoDo Hockey J18,J18 Allsvenskan,0,0,0,0,0,,461
1999-00,MoDo Hockey J20,SuperElit,19,9,8,17,18,,461
1999-00,Sweden U18,WJC-18,6,3,5,8,6,6,461
1999-00,Sweden U18 (all),International-Jr,7,3,5,8,8,,461
1999-00,Plymouth Whalers,OHL,68,37,46,83,46,47,4506
1999-00,Djurgårdens IF,SHL,37,1,4,5,16,0,69
1999-00,Sweden U20,WJC-20,7,5,1,6,10,7,69
1999-00,Sweden U20 (all),International-Jr,15,7,2,9,28,,69
1999-00,Univ. of Minnesota,NCAA,39,10,10,20,22,,9385
1999-00,USA U20,WJC-20,7,1,4,5,2,1,9385
1999-00,Dynamo Moskva-2,Russia3,4,2,1,3,10,,9558
1999-00,THK Tver,Russia2,39,3,6,9,84,,9558
1999-00,Russia U18,WJC-18,6,1,1,2,10,2,9558
1999-00,Plymouth Whalers,OHL,64,36,28,64,37,20,7503
1999-00,Prince Albert Raiders,WHL,72,11,33,44,38,-24,8597
1999-00,Canada U18,Nations Cup,3,0,1,1,0,,8597
1999-00,Neftyanik Leninogorsk,Russia2,2,2,0,2,2,,9562
1999-00,Ak Bars Kazan,Russia,14,1,1,2,4,,9562
1999-00,Ak Bars Kazan-2,Russia3,16,16,4,20,12,,9562
1999-00,Russia U18,WJC-18,6,3,4,7,8,11,9562
1999-00,Univ. of Wisconsin,NCAA,33,9,9,18,48,,8830
1999-00,USA U20,WJC-20,7,0,0,0,6,-2,8830
1999-00,Leksands IF J18,J18 Allsvenskan,1,2,0,2,2,,355
1999-00,Leksands IF J20,SuperElit,34,15,12,27,65,,355
1999-00,Leksands IF,SHL,3,0,0,0,2,0,355
1999-00,Sweden U18,WJC-18,6,0,2,2,10,1,355
1999-00,Sweden U18 (all),International-Jr,17,1,4,5,24,,355
1999-00,Univ. of Michigan,NCAA,38,17,16,33,43,7,9052
1999-00,USA U20,WJC-20,7,1,1,2,0,0,9052
1999-00,HK Dukla Trencin U20,Slovakia U20,14,8,9,17,12,,9642
1999-00,HK Dukla Trencin,Slovakia,52,3,4,7,24,,9642
1999-00,Slovakia U18,WJC-18,1,0,0,0,0,0,9642
1999-00,Slovakia U20,WJC-20,7,0,2,2,4,3,9642
1999-00,Jokerit U18,Jr. B SM-sarja,5,3,4,7,8,,3183
1999-00,Jokerit U20,Jr. A SM-liiga,23,5,9,14,42,,3183
1999-00,Jokerit,Liiga,14,1,1,2,8,0,3183
1999-00,Finland U18,WJC-18,7,1,4,5,8,5,3183
1999-00,Finland U20,WJC-20,7,1,0,1,6,0,3183
1999-00,Finland U20 (all),International-Jr,12,2,0,2,12,,3183
1999-00,Peterborough Petes,OHL,68,6,18,24,116,12,9156
1999-00,Jokerit U20,Jr. A SM-liiga,31,4,4,8,53,,3189
1999-00,Finland U18,WJC-18,7,2,2,4,8,1,3189
1999-00,Plymouth Whalers,OHL,68,0,15,15,208,24,10854
1999-00,Univ. of Denver,NCAA,19,2,6,8,49,3,8769
1999-00,Calgary Hitmen,WHL,27,14,6,20,41,7,8769
1999-00,Canada U20,WJC-20,7,4,0,4,4,0,8769
1999-00,Kootenay Ice,WHL,71,37,38,75,64,1,8895
1999-00,Kootenay Ice,M-Cup,3,0,2,2,2,,8895
1999-00,Kamloops Blazers,WHL,57,17,38,55,70,4,9521
1999-00,Seattle Thunderbirds,WHL,68,11,25,36,38,1,39313
1999-00,Leksands IF J18,J18 Allsvenskan,1,0,2,2,0,,354
1999-00,Leksands IF J20,SuperElit,34,15,24,39,32,,354
1999-00,Leksands IF,SHL,3,0,0,0,0,0,354
1999-00,Sweden U18,WJC-18,6,2,4,6,0,2,354
1999-00,Sweden U18 (all),International-Jr,16,6,9,15,6,,354
1999-00,Krylia Sovetov Moskva,Russia2,32,8,8,16,28,,9554
1999-00,Russia U18,WJC-18,6,0,1,1,6,12,9554
1999-00,Plymouth Whalers,OHL,64,16,22,38,63,8,9446
1999-00,Seattle Thunderbirds,WHL,70,23,32,55,62,10,12253
1999-00,Torpedo Yaroslavl,Russia,7,0,0,0,12,,19111
1999-00,Torpedo Yaroslavl-2,Russia3,32,11,10,21,89,,19111
1999-00,Russia U18,WJC-18,6,3,2,5,4,6,19111
1999-00,MIF Redhawks,SHL,49,8,11,19,88,5,726
1999-00,Sweden (all),International,4,3,1,4,4,,726
1999-00,Victoriaville Tigres,QMJHL,71,30,41,71,87,-12,8840
1999-00,Lokomotiv Yaroslavl-2,Russia3,38,24,10,34,57,,9602
1999-00,Univ. of Minnesota,NCAA,39,1,6,7,82,,11515
1999-00,Kristall Saratov,Russia2,4,0,0,0,6,,59476
1999-00,Langley Hornets,BCHL,49,53,51,104,72,,7605
1999-00,Swift Current Broncos,WHL,71,2,12,14,114,16,9632
1999-00,Elk River High,USHS-MN,24,15,35,50,26,,8778
1999-00,Owen Sound Platers,OHL,65,7,25,32,56,3,12550
1999-00,Latvia U18,WJC-18 B,5,2,1,3,6,3,12550
1999-00,Latvia U20,WJC-20 B,5,0,1,1,8,1,12550
1999-00,Regina Pats,WHL,47,7,32,39,70,1,8663
1999-00,Seattle Thunderbirds,WHL,60,23,34,57,69,11,29020
1999-00,HIFK U20,Jr. A SM-liiga,37,2,5,7,22,,3188
1999-00,Finland U18,WJC-18,7,1,1,2,22,3,3188
1999-00,Newmarket Hurricanes,OPJHL,47,50,32,82,52,,15090
1999-00,Israel,WC D,4,6,6,12,6,12,15090
1999-00,Västra Frölunda HC J18,J18 Allsvenskan,4,2,4,6,4,,305
1999-00,Västra Frölunda HC J20,SuperElit,25,7,12,19,2,,305
1999-00,Sweden U18,WJC-18,6,3,1,4,2,2,305
1999-00,Sweden U18 (all),International-Jr,12,6,7,13,18,,305
1999-00,Moose Jaw Warriors,WHL,72,30,30,60,101,-4,61675
1999-00,Rimouski Océanic,QMJHL,53,26,43,69,61,13,13797
1999-00,Rimouski Océanic,M-Cup,4,0,2,2,4,,13797
1999-00,MoDo Hockey J18,J18 Allsvenskan,1,0,1,1,0,,632
1999-00,MoDo Hockey J20,SuperElit,33,5,5,10,56,,632
1999-00,Sweden U18,WJC-18,5,0,0,0,14,2,632
1999-00,Sweden U18 (all),International-Jr,16,1,0,1,24,,632
1999-00,Metallurg Novokuznetsk,Russia,28,0,2,2,16,,12285
1999-00,Russia U20,WJC-20,7,2,3,5,6,9,12285
1999-00,Lokomotiv Yaroslavl-2,Russia3,31,17,16,33,-,,12250
1999-00,Belleville Bulls,OHL,60,40,36,76,52,18,10313
1999-00,Erie Otters,OHL,58,32,21,53,134,4,8922
1999-00,Deerfield Academy,USHS-Prep,-,-,-,-,-,,59477
1999-00,Portland Winter Hawks,WHL,65,22,23,45,33,-14,9641
1999-00,Slovakia U18,WJC-18,6,0,5,5,4,-1,9641
1999-00,Brampton Battalion,OHL,58,0,8,8,81,-3,15949
1999-00,Univ. of North Dakota,NCAA,44,17,23,40,30,,10253
1999-00,Dynamo Moskva,Russia,35,14,20,34,26,,12452
1999-00,Russia,WC,6,2,3,5,2,6,12452
1999-00,Dynamo Moskva,Euro HL,6,3,3,6,2,5,12452
